id,regulated_entity_name,regulated_entity_rn_number,tracking_number,type_of_air_emissions_event,began_date,ended_date,duration
29760,KEYSTONE GAS PLANT,RN100238633,154122,EMISSIONS EVENT,2011-05-03 16:30:00+00:00,2011-05-04 00:20:00+00:00,7.83333333333333
29801,KEYSTONE GAS PLANT,RN100238633,154158,EMISSIONS EVENT,2011-05-04 16:14:00+00:00,2011-05-05 10:34:00+00:00,18.3333333333333
29986,KEYSTONE GAS PLANT,RN100238633,154311,EMISSIONS EVENT,2011-05-09 17:53:00+00:00,2011-05-12 00:00:00+00:00,54.1166666666667
30014,KEYSTONE GAS PLANT,RN100238633,154347,EMISSIONS EVENT,2011-05-10 09:50:00+00:00,2011-06-24 16:30:00+00:00,1086.66666666667
30121,KEYSTONE GAS PLANT,RN100238633,154480,EMISSIONS EVENT,2011-05-13 18:36:00+00:00,2011-05-13 20:40:00+00:00,2.06666666666667
30128,KEYSTONE GAS PLANT,RN100238633,154487,EMISSIONS EVENT,2011-05-15 00:17:00+00:00,2011-05-16 11:41:00+00:00,35.4
30196,KEYSTONE GAS PLANT,RN100238633,154635,EMISSIONS EVENT,2011-05-18 21:45:00+00:00,2011-05-19 05:40:00+00:00,7.91666666666667
30228,KEYSTONE GAS PLANT,RN100238633,154694,EMISSIONS EVENT,2011-05-19 14:39:00+00:00,2011-05-19 17:15:00+00:00,2.6
30240,KEYSTONE GAS PLANT,RN100238633,154719,EMISSIONS EVENT,2011-05-20 17:30:00+00:00,2011-05-21 05:00:00+00:00,11.5
30316,KEYSTONE GAS PLANT,RN100238633,154845,EMISSIONS EVENT,2011-05-23 16:00:00+00:00,2011-05-25 06:22:00+00:00,38.3666666666667
30379,KEYSTONE GAS PLANT,RN100238633,154975,EMISSIONS EVENT,2011-05-25 22:25:00+00:00,2011-05-26 22:25:00+00:00,24.0
30461,KEYSTONE GAS PLANT,RN100238633,155107,EMISSIONS EVENT,2011-05-31 01:25:00+00:00,2011-05-31 04:07:00+00:00,2.7
30495,KEYSTONE GAS PLANT,RN100238633,155199,EMISSIONS EVENT,2011-06-01 22:00:00+00:00,2011-06-04 23:38:00+00:00,73.6333333333333
30588,KEYSTONE GAS PLANT,RN100238633,155365,EMISSIONS EVENT,2011-06-06 20:35:00+00:00,2011-06-08 21:35:00+00:00,49.0
30778,KEYSTONE GAS PLANT,RN100238633,155688,EMISSIONS EVENT,2011-06-14 14:50:00+00:00,2011-06-17 04:20:00+00:00,61.5
30968,KEYSTONE GAS PLANT,RN100238633,156080,EMISSIONS EVENT,2011-06-23 13:15:00+00:00,2011-06-27 23:00:00+00:00,105.75
23450,KEYSTONE GAS PLANT,RN100238633,156126,EMISSIONS EVENT,2011-06-26 11:15:00+00:00,2011-07-03 04:37:00+00:00,161.366666666667
23521,KEYSTONE GAS PLANT,RN100238633,156186,EMISSIONS EVENT,2011-06-28 01:30:00+00:00,2011-06-28 06:15:00+00:00,4.75
23699,KEYSTONE GAS PLANT,RN100238633,156388,EMISSIONS EVENT,2011-07-01 15:00:00+00:00,2011-07-02 01:50:00+00:00,10.8333333333333
23714,KEYSTONE GAS PLANT,RN100238633,156395,EMISSIONS EVENT,2011-07-02 13:30:00+00:00,2011-07-03 01:30:00+00:00,12.0
23736,KEYSTONE GAS PLANT,RN100238633,156404,EMISSIONS EVENT,2011-07-04 14:30:00+00:00,2011-07-04 23:43:00+00:00,9.21666666666667
23936,KEYSTONE GAS PLANT,RN100238633,156619,EMISSIONS EVENT,2011-07-08 16:15:00+00:00,2011-07-08 23:40:00+00:00,7.41666666666667
23939,KEYSTONE GAS PLANT,RN100238633,156621,EMISSIONS EVENT,2011-07-10 03:00:00+00:00,2011-07-10 19:22:00+00:00,16.3666666666667
23989,KEYSTONE GAS PLANT,RN100238633,156670,EMISSIONS EVENT,2011-07-11 14:26:00+00:00,2011-07-11 20:19:00+00:00,5.88333333333333
24028,KEYSTONE GAS PLANT,RN100238633,156718,EMISSIONS EVENT,2011-07-12 15:56:00+00:00,2011-09-09 15:56:00+00:00,1416.0
24166,KEYSTONE GAS PLANT,RN100238633,156875,EMISSIONS EVENT,2011-07-16 23:02:00+00:00,2011-07-17 05:57:00+00:00,6.91666666666667
